time,latitude,longitude,mag
1998-01-16T17:03:20.340Z,39.6708333,-120.3941667,2.6
1998-01-16T10:43:56.770Z,37.6541667,-118.8738333,2.6
1998-01-16T07:48:14.120Z,34.145,-116.736,2.74
1998-01-15T23:34:39.000Z,38.5,-90.43,2.5
1998-01-15T22:54:08.100Z,34.265,-118.433,2.94
1998-01-15T22:42:32.890Z,46.7815,-122.8378333,2.8
1998-01-15T21:45:07.830Z,36.0211667,-120.5788333,2.57
1998-01-15T18:24:18.730Z,38.7963333,-122.7328333,2.77
1998-01-15T18:07:40.540Z,46.07,-106.841,2.9
1998-01-15T15:12:14.580Z,39.4305,-120.1743333,3.77
1998-01-14T23:43:26.490Z,39.7895,-123.5635,2.65
1998-01-14T21:46:28.480Z,35.806,-118.025,2.53
1998-01-14T21:42:11.160Z,37.013,-121.4253333,2.71
1998-01-14T18:58:16.040Z,40.2681667,-122.8296667,3.96
1998-01-14T18:44:34.420Z,37.6293333,-118.8605,2.83
1998-01-14T17:36:25.770Z,37.6398333,-118.871,2.73
1998-01-14T13:31:45.580Z,37.6261667,-118.8118333,2.59
1998-01-14T06:52:53.950Z,31.942,-115.763,2.5
1998-01-14T06:33:27.820Z,32.042,-116.224,2.65
1998-01-14T06:13:09.450Z,40.5711667,-124.692,2.62
1998-01-14T03:54:50.280Z,34.824,-117.131,2.54
1998-01-13T11:37:58.890Z,37.6296667,-118.8663333,2.85
1998-01-13T06:35:32.250Z,44.761,-113.671,3.6
1998-01-13T03:37:18.340Z,35.884,-117.363,2.93
1998-01-13T02:02:41.580Z,33.234,-115.558,2.5
1998-01-13T01:28:53.890Z,33.245,-115.564,2.78
1998-01-13T01:21:31.330Z,33.239,-115.563,2.67
1998-01-13T01:21:12.550Z,35.682,-117.603,2.58
1998-01-13T01:12:13.840Z,33.237,-115.554,2.74
1998-01-13T01:09:34.690Z,33.232,-115.577,3.85
1998-01-12T23:11:02.750Z,33.227,-115.559,2.61
1998-01-12T21:56:12.480Z,38.022,-81.329,3.2
1998-01-12T21:12:54.440Z,33.229,-115.56,2.52
1998-01-12T20:48:13.930Z,33.231,-115.55,2.51
1998-01-12T19:49:52.720Z,31.883,-115.812,2.66
1998-01-12T18:06:27.840Z,33.237,-115.565,2.68
1998-01-12T16:01:30.050Z,33.235,-115.565,2.72
1998-01-12T16:00:29.070Z,33.234,-115.569,3.22
1998-01-12T15:57:17.170Z,37.6443333,-118.8608333,2.5
1998-01-12T09:24:22.710Z,38.7771667,-119.7053333,2.5
1998-01-12T06:36:24.900Z,34.187,-118.466,3.35
1998-01-12T06:36:22.010Z,34.579,-118.317,3.78
1998-01-11T18:43:59.640Z,37.6366667,-118.8578333,3.18
1998-01-11T18:08:54.930Z,37.6363333,-118.8598333,3.01
1998-01-11T16:21:43.400Z,37.6386667,-118.8653333,3.24
1998-01-11T16:14:54.690Z,37.638,-118.8635,3.7
1998-01-11T13:51:07.730Z,32.103,-115.779,2.67
1998-01-11T13:22:10.200Z,37.627,-118.849,2.56
1998-01-11T10:33:41.460Z,42.776,-110.937,2.7
1998-01-11T05:17:28.970Z,37.3428333,-121.7073333,2.56
1998-01-11T00:25:01.690Z,31.382,-115.461,2.82
1998-01-10T15:23:48.370Z,36.0283333,-120.5831667,2.83
1998-01-10T13:10:59.710Z,37.6301667,-118.8675,3.08
1998-01-10T04:12:47.880Z,39.3281667,-122.7966667,2.89
1998-01-10T03:54:58.320Z,39.3266667,-122.7936667,3.29
1998-01-09T22:28:54.030Z,37.6425,-118.8771667,2.59
1998-01-09T21:19:27.740Z,37.64,-118.871,2.91
1998-01-09T21:12:01.780Z,37.6418333,-118.8726667,2.52
1998-01-09T20:46:22.480Z,38.8246667,-122.8068333,2.9
1998-01-09T19:33:13.380Z,37.6413333,-118.8701667,3.8
1998-01-09T19:28:14.840Z,37.642,-118.858,3.46
1998-01-09T19:27:58.630Z,37.6405,-118.8671667,3.4
1998-01-09T19:24:49.440Z,37.6403333,-118.8656667,3.43
1998-01-09T18:35:44.480Z,37.6383333,-118.8631667,2.7
1998-01-09T15:34:49.380Z,37.6201667,-118.8526667,2.75
1998-01-09T10:17:17.910Z,37.621,-118.8446667,2.53
1998-01-09T03:17:42.770Z,37.867,-118.188,3.3
1998-01-08T23:12:23.820Z,37.381,-121.3001667,3.19
1998-01-08T22:51:14.670Z,37.6276667,-119.4735,2.79
1998-01-08T21:25:14.640Z,46.7321667,-122.7971667,2.6
1998-01-08T18:44:00.650Z,46.7798333,-122.8321667,2.9
1998-01-08T13:41:38.380Z,39.546,-117.487,3.7
1998-01-08T04:34:11.890Z,42.855,-70.04,2.9
1998-01-08T03:14:22.740Z,37.6678333,-118.8428333,2.78
1998-01-07T23:52:45.510Z,33.194,-115.603,3.4
1998-01-07T23:51:53.040Z,33.195,-115.611,2.95
1998-01-07T18:16:21.570Z,33.888,-117.879,2.54
1998-01-07T17:49:00.670Z,33.888,-117.879,3.12
1998-01-07T15:40:28.740Z,37.6381667,-118.8411667,3.09
1998-01-07T09:34:09.440Z,37.5995,-118.8181667,2.5
1998-01-07T08:59:25.010Z,31.878,-115.807,2.57
1998-01-07T08:36:26.290Z,37.6578333,-118.8778333,2.7
1998-01-07T07:19:11.240Z,32.302,-115.245,3.73
1998-01-07T00:23:52.150Z,37.6336667,-118.8683333,3.16
1998-01-06T23:52:12.980Z,46.7778333,-122.8215,2.8
1998-01-06T20:52:42.970Z,40.8068333,-122.4543333,2.63
1998-01-06T18:40:29.840Z,37.6543333,-118.8766667,2.74
1998-01-06T10:35:42.780Z,37.6395,-118.8395,2.55
1998-01-06T08:36:46.630Z,34.916,-110.495,3.9
1998-01-06T04:13:55.290Z,37.6376667,-118.8378333,2.51
1998-01-06T02:19:53.300Z,37.6275,-118.8465,3.09
1998-01-06T01:43:37.000Z,37.6265,-118.8451667,2.88
1998-01-06T00:49:00.520Z,39.794,-121.7296667,2.58
1998-01-05T20:35:07.330Z,37.6266667,-118.8451667,2.68
1998-01-05T19:43:20.440Z,33.944,-117.717,2.54
1998-01-05T18:58:20.100Z,37.6443333,-118.8815,2.83
1998-01-05T18:14:06.480Z,33.951,-117.709,4.29
1998-01-05T14:11:12.890Z,37.633,-118.8716667,4.2
1998-01-05T13:16:05.650Z,37.6291667,-118.841,3.26
1998-01-05T12:21:19.100Z,37.6333333,-118.8753333,2.93
1998-01-05T02:20:46.270Z,40.1383333,-111.2535,2.94
1998-01-04T22:04:36.770Z,36.031,-117.798,2.67
1998-01-04T17:27:54.690Z,42.787,-111.133,3.4
1998-01-04T15:36:28.140Z,37.6328333,-118.8686667,2.5
1998-01-04T13:51:41.580Z,37.6525,-118.8718333,2.74
1998-01-04T13:11:52.600Z,37.6376667,-118.9451667,2.54
1998-01-04T12:34:28.850Z,36.94,-118.622,2.9
1998-01-04T12:34:14.440Z,37.6376667,-118.9455,3.58
1998-01-04T12:29:28.170Z,37.6388333,-118.9441667,3.23
1998-01-04T11:06:51.450Z,37.638,-118.8738333,2.55
1998-01-04T10:09:53.100Z,37.6333333,-118.877,3.11
1998-01-04T09:11:45.030Z,34.2,-118.637,3.37
1998-01-04T08:05:31.870Z,34.553,-106.191,3.6
1998-01-04T07:59:21.780Z,37.6321667,-118.8678333,2.67
1998-01-04T06:25:27.690Z,37.6465,-118.8806667,3.44
1998-01-04T06:18:59.260Z,37.6473333,-118.883,3.56
1998-01-04T06:15:50.460Z,37.6325,-118.8753333,2.58
1998-01-04T02:37:44.510Z,38.553,-122.2883333,2.61
1998-01-03T22:11:40.110Z,37.6068333,-121.2041667,2.92
1998-01-03T20:22:01.530Z,39.969,-120.9666667,2.51
1998-01-03T13:48:58.130Z,37.638,-118.8665,2.97
1998-01-03T12:47:47.110Z,37.6226667,-118.8293333,3.07
1998-01-03T11:40:28.830Z,37.6431667,-118.8436667,2.66
1998-01-03T11:37:36.570Z,37.6408333,-118.8413333,3.16
1998-01-03T10:56:49.100Z,37.639,-118.8436667,2.8
1998-01-03T10:18:44.550Z,37.632,-118.8748333,3.12
1998-01-03T08:58:46.580Z,40.4681667,-124.1981667,2.93
1998-01-03T07:57:17.510Z,37.6516667,-119.4413333,2.72
1998-01-03T07:56:54.590Z,37.237,-117.859,2.95
1998-01-03T07:47:16.870Z,34.873,-117.102,3.3
1998-01-03T03:23:06.800Z,37.632,-118.8533333,2.9
1998-01-03T02:50:06.200Z,37.6395,-118.8695,2.66
1998-01-02T17:14:57.270Z,37.6323333,-118.8758333,2.72
1998-01-02T16:39:27.230Z,38.809,-122.7976667,2.52
1998-01-02T15:47:16.430Z,37.828,-103.408,3.4
1998-01-02T09:44:18.600Z,31.802,-115.762,2.58
1998-01-02T07:37:19.790Z,36.6085,-120.9038333,2.58
1998-01-02T07:28:29.490Z,38.2413333,-112.5276667,4.44
1998-01-02T05:39:12.650Z,37.6513333,-118.863,2.87
1998-01-02T05:11:36.720Z,37.6535,-118.8635,2.71
1998-01-02T00:10:38.750Z,37.6525,-118.8611667,3
1998-01-02T00:05:58.190Z,37.278,-115.157,4.2
1998-01-01T22:43:00.530Z,37.6338333,-118.8791667,2.61
1998-01-01T18:32:28.360Z,37.6275,-118.8133333,3.06
1998-01-01T16:59:01.690Z,37.6428333,-118.853,2.77
